trip_id,duration,start_station,end_station
OCESN12213F1304079:2023-08-29T11:49:37Z,129.0,paris montparnasse hall 1 - 2,bordeaux saint-jean
OCESN12213F2323578:2023-10-09T00:43:50Z,266.0,paris montparnasse hall 1 - 2,toulouse matabiau
OCESN12244F2546867:2023-10-13T00:46:55Z,132.0,bordeaux saint-jean,paris montparnasse hall 1 - 2
OCESN12289F2203976:2023-09-05T00:35:10Z,94.0,paris montparnasse hall 1 - 2,poitiers
OCESN2050F2243940:2023-10-13T00:46:55Z,131.0,strasbourg,paris est
OCESN2050F2470133:2023-10-13T00:46:55Z,135.0,strasbourg,paris gare du nord
OCESN2051F2391370:2023-10-13T00:46:55Z,117.0,paris est,strasbourg
OCESN2077F2271008:2023-10-13T00:46:55Z,122.0,paris gare du nord,strasbourg
OCESN2087F2239944:2023-08-29T11:49:37Z,346.0,strasbourg,aix-en-provence tgv
OCESN2087F2308903:2023-10-11T00:54:01Z,363.0,strasbourg,marseille saint-charles
OCESN2090F2441881:2023-10-09T00:43:50Z,363.0,strasbourg,bordeaux saint-jean
OCESN2092F2441878:2023-10-11T00:54:01Z,358.0,bordeaux saint-jean,strasbourg
OCESN2096F2404402:2023-10-09T00:43:50Z,358.0,aix-en-provence tgv,strasbourg
OCESN2096F2519325:2023-10-09T00:43:50Z,371.0,marseille saint-charles,strasbourg
OCESN2203F2174017:2023-08-29T11:49:37Z,371.0,strasbourg,montpellier saint-roch
OCESN2204F2173418:2023-08-29T11:49:37Z,375.0,montpellier saint-roch,strasbourg
OCESN2204F2290264:2023-10-09T00:43:50Z,435.0,montpellier saint-roch,metz
OCESN2207F2290687:2023-10-09T00:43:50Z,100.0,paris gare du nord,metz
OCESN2208F1921255:2023-10-11T00:54:01Z,93.0,metz,paris est
OCESN2213F2426030:2023-10-09T00:43:50Z,85.0,paris est,metz
OCESN2234F1955190:2023-10-11T00:54:01Z,118.0,nancy place de la république,paris est
OCESN2237F1334366:2023-10-04T00:41:06Z,111.0,paris est,nancy place de la république
OCESN2237F2403232:2023-10-09T00:43:50Z,119.0,paris gare du nord,nancy place de la république
OCESN2239F2173963:2023-10-04T00:41:06Z,535.0,strasbourg,nice-ville
OCESN2239F2346865:2023-10-09T00:43:50Z,423.0,strasbourg,toulon
OCESN2239F2380179:2023-10-09T00:43:50Z,647.0,nancy place de la république,nice-ville
OCESN2242F2121827:2023-10-13T00:46:55Z,534.0,nice-ville,strasbourg
OCESN2242F2184608:2023-10-04T09:03:30Z,602.0,nice-ville,nancy place de la république
OCESN2242F2371191:2023-10-04T09:03:30Z,424.0,toulon,strasbourg
OCESN2253F2240609:2023-10-13T00:46:55Z,48.0,paris est,reims
OCESN2260F1337017:2023-10-09T00:43:50Z,52.0,reims,paris est
OCESN2350F2019974:2023-10-13T00:46:55Z,162.0,colmar,paris est
OCESN2350F2408970:2023-10-11T00:54:01Z,177.0,colmar,paris gare du nord
OCESN2363F2262992:2023-10-13T00:46:55Z,146.0,paris est,colmar
OCESN2363F2544183:2023-10-09T00:43:50Z,174.0,paris gare du nord,colmar
OCESN2534F2542887:2023-09-19T00:35:11Z,99.0,nancy place de la république,paris gare du nord
OCESN2571F1943482:2023-10-09T00:43:50Z,171.0,paris est,remiremont
OCESN2573F2606543:2023-10-11T00:54:01Z,230.0,paris gare du nord,remiremont
OCESN2574F2244253:2023-10-11T00:54:01Z,169.0,remiremont,paris est
OCESN2591F1911335:2023-10-09T00:43:50Z,173.0,paris est,saint-dié-des-vosges
OCESN2596F2257109:2023-10-11T00:54:01Z,157.0,saint-dié-des-vosges,paris est
OCESN2654F2387412:2023-10-11T00:54:01Z,117.0,metz,paris gare du nord
OCESN2701F2610871:2023-09-23T00:33:29Z,63.0,paris gare du nord,reims
OCESN2709F2058470:2023-10-11T00:54:01Z,128.0,paris est,sedan
OCESN2709F2584834:2023-10-13T00:46:55Z,104.0,paris est,charleville-mézières
OCESN2714F1718173:2023-08-29T11:49:37Z,138.0,sedan,paris est
OCESN2722F1664200:2023-09-19T00:35:11Z,66.0,reims,paris gare du nord
OCESN2724F2429347:2023-10-11T00:54:01Z,162.0,sedan,paris gare du nord
OCESN2730F2436054:2023-10-13T00:46:55Z,110.0,charleville-mézières,paris est
OCESN2778F2348372:2023-10-11T00:54:01Z,126.0,bar-le-duc,paris est
OCESN2785F1347810:2023-10-10T00:42:10Z,124.0,paris est,bar-le-duc
OCESN2801F2387496:2023-09-23T00:33:29Z,150.0,paris gare du nord,luxembourg
OCESN2801F2584859:2023-10-13T00:46:55Z,138.0,paris est,luxembourg
OCESN2815F2495671:2023-09-19T00:35:11Z,117.0,paris gare du nord,thionville
OCESN2854F2373878:2023-10-10T00:42:10Z,134.0,luxembourg,paris est
OCESN2864F2511370:2023-09-26T00:38:18Z,173.0,luxembourg,paris gare du nord
OCESN2870F1567584:2023-10-11T00:54:01Z,130.0,thionville,paris gare du nord
OCESN32965F2632088:2023-09-27T00:39:01Z,342.0,paris gare de lyon hall 1 - 2,nice-ville
OCESN5000F2180299:2023-08-29T11:49:37Z,205.0,lille europe,rennes
OCESN5010F2239480:2023-10-09T00:43:50Z,300.0,lille europe,marseille saint-charles
OCESN5010F2342328:2023-10-04T09:03:30Z,289.0,lille europe,aix-en-provence tgv
OCESN5010F2594196:2023-10-09T00:43:50Z,185.0,lille europe,lyon part dieu
OCESN5020F2218325:2023-10-12T00:48:35Z,328.0,lille europe,montpellier saint-roch
OCESN5026F2176747:2023-10-04T09:03:30Z,264.0,lille europe,montpellier sud de france
OCESN5054F1686663:2023-10-02T00:28:07Z,236.0,marseille saint-charles,aéroport charles de gaulle 2 tgv
OCESN5054F2257212:2023-10-10T00:42:10Z,291.0,marseille saint-charles,lille europe
OCESN5054F2597509:2023-10-10T00:42:10Z,173.0,lyon part dieu,lille europe
OCESN5060F2406370:2023-10-09T00:43:50Z,223.0,bordeaux saint-jean,aéroport charles de gaulle 2 tgv
OCESN5062F2244000:2023-10-09T00:43:50Z,312.0,montpellier sud de france,lille europe
OCESN5062F2264576:2023-10-04T09:03:30Z,329.0,montpellier saint-roch,lille europe
OCESN5066F2241590:2023-10-09T00:43:50Z,254.0,aix-en-provence tgv,lille europe
OCESN5080F2219555:2023-10-10T00:42:10Z,230.0,rennes,lille europe
OCESN5156F2082813:2023-10-09T00:43:50Z,312.0,montpellier saint-roch,lille flandres
OCESN5186F2217864:2023-10-10T00:42:10Z,195.0,lyon perrache,lille europe
OCESN5192F1989988:2023-10-09T00:43:50Z,238.0,lyon perrache,lille flandres
OCESN5192F2326814:2023-10-04T00:41:06Z,360.0,marseille saint-charles,lille flandres
OCESN5192F2359520:2023-10-04T00:41:06Z,220.0,lyon part dieu,lille flandres
OCESN5202F1688143:2023-09-30T00:27:01Z,346.0,lille europe,bordeaux saint-jean
OCESN5202F2203619:2023-10-10T00:42:10Z,347.0,lille flandres,bordeaux saint-jean
OCESN5224F1959940:2023-10-04T09:03:30Z,312.0,lille flandres,nantes
OCESN5260F1586005:2023-10-04T00:41:06Z,282.0,bordeaux saint-jean,lille flandres
OCESN5284F1959879:2023-09-30T00:27:01Z,299.0,bordeaux saint-jean,lille europe
OCESN5288F1807624:2023-10-09T00:43:50Z,257.0,nantes,lille europe
OCESN5300F2082707:2023-10-10T00:42:10Z,389.0,nantes,montpellier sud de france
OCESN5306F1964028:2023-10-10T00:42:10Z,305.0,nantes,lyon perrache
OCESN5306F2099768:2023-08-29T11:49:37Z,400.0,nantes,marseille saint-charles
OCESN5306F2420561:2023-08-29T11:49:37Z,286.0,nantes,lyon part dieu
OCESN5316F2173484:2023-10-13T00:46:55Z,403.0,le havre,marseille saint-charles
OCESN5332F2023556:2023-10-13T00:46:55Z,353.0,rennes,marseille saint-charles
OCESN5332F2420734:2023-08-30T00:33:31Z,239.0,rennes,lyon part dieu
OCESN5336F2322212:2023-10-12T00:48:35Z,259.0,rennes,lyon perrache
OCESN5336F2333144:2023-08-30T00:33:31Z,366.0,rennes,montpellier sud de france
OCESN5351F1960316:2023-10-10T00:42:10Z,303.0,lyon perrache,nantes
OCESN5358F2083180:2023-10-13T00:46:55Z,388.0,montpellier sud de france,nantes
OCESN5366F2428682:2023-10-09T00:43:50Z,373.0,marseille saint-charles,nantes
OCESN5376F1836496:2023-10-13T00:46:55Z,416.0,marseille saint-charles,le havre
OCESN5380F2225755:2023-10-09T00:43:50Z,238.0,lyon perrache,rennes
OCESN5382F1833535:2023-08-30T00:33:31Z,345.0,marseille saint-charles,rennes
OCESN5382F2493689:2023-08-30T00:33:31Z,235.0,lyon part dieu,rennes
OCESN5460F2417295:2023-10-09T00:43:50Z,280.0,rennes,strasbourg
OCESN5470F1306365:2023-10-04T09:03:30Z,286.0,strasbourg,rennes
OCESN5480F2021058:2023-10-02T00:28:07Z,320.0,nantes,strasbourg
OCESN5486F2206999:2023-10-09T00:43:50Z,348.0,strasbourg,nantes
OCESN5512F2173308:2023-10-09T00:43:50Z,223.0,lyon perrache,strasbourg
