trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN12213F1304079:2023-08-29T11:49:37Z,19:06:00,19:06:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12213F1304079:2023-08-29T11:49:37Z,21:15:00,21:15:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12213F2323578:2023-10-09T00:43:50Z,19:05:00,19:05:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12213F2323578:2023-10-09T00:43:50Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12213F2323578:2023-10-09T00:43:50Z,22:22:00,22:25:00,StopPoint:OCETGV INOUI-87586008,2,,0,0,
OCESN12213F2323578:2023-10-09T00:43:50Z,23:02:00,23:05:00,StopPoint:OCETGV INOUI-87611244,3,,0,0,
OCESN12213F2323578:2023-10-09T00:43:50Z,23:31:00,23:31:00,StopPoint:OCETGV INOUI-87611004,4,,1,0,
OCESN12213F2410837:2023-10-10T00:42:10Z,19:05:00,19:05:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12213F2410837:2023-10-10T00:42:10Z,21:14:00,21:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12244F2546867:2023-10-13T00:46:55Z,18:46:00,18:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12244F2546867:2023-10-13T00:46:55Z,20:47:00,20:50:00,StopPoint:OCETGV INOUI-87393702,1,,1,0,
OCESN12244F2546867:2023-10-13T00:46:55Z,20:58:00,20:58:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12246F1317210:2023-08-29T11:49:37Z,19:37:00,19:37:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12246F1317210:2023-08-29T11:49:37Z,21:45:00,21:45:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12246F1317902:2023-08-29T11:49:37Z,19:37:00,19:37:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12246F1317902:2023-08-29T11:49:37Z,21:49:00,21:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12246F2337395:2023-10-09T00:43:50Z,19:37:00,19:37:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12246F2337395:2023-10-09T00:43:50Z,21:45:00,21:45:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12250F2406669:2023-10-13T00:46:55Z,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F2406669:2023-10-13T00:46:55Z,10:55:00,10:55:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12250F2693997:2023-10-12T00:48:35Z,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F2693997:2023-10-12T00:48:35Z,10:55:00,10:55:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12251F2322624:2023-10-09T00:43:50Z,07:03:00,07:03:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12251F2322624:2023-10-09T00:43:50Z,09:14:00,09:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12251F2410891:2023-10-09T00:43:50Z,07:03:00,07:03:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12251F2410891:2023-10-09T00:43:50Z,09:14:00,09:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12252F1719016:2023-10-10T00:42:10Z,09:46:00,09:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12252F1719016:2023-10-10T00:42:10Z,11:54:00,11:54:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12252F2000889:2023-09-04T00:36:08Z,09:46:00,09:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12252F2000889:2023-09-04T00:36:08Z,11:54:00,11:54:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12254F1971837:2023-10-09T00:43:50Z,10:46:00,10:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F1971837:2023-10-09T00:43:50Z,12:56:00,12:56:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12254F2234436:2023-10-13T00:46:55Z,10:46:00,10:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F2234436:2023-10-13T00:46:55Z,12:58:00,12:58:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12254F2346076:2023-10-09T00:43:50Z,10:46:00,10:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F2346076:2023-10-09T00:43:50Z,12:58:00,12:58:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
