trip_id,duration,start_station,end_station
OCESN12213F1304079:2023-08-29T11:49:37Z,129.0,Paris Montparnasse Hall 1 - 2,Bordeaux Saint-Jean
OCESN12213F2323578:2023-10-09T00:43:50Z,266.0,Paris Montparnasse Hall 1 - 2,Toulouse Matabiau
OCESN12244F2546867:2023-10-13T00:46:55Z,132.0,Bordeaux Saint-Jean,Paris Montparnasse Hall 1 - 2
OCESN12289F2203976:2023-09-05T00:35:10Z,94.0,Paris Montparnasse Hall 1 - 2,Poitiers
OCESN2050F2243940:2023-10-13T00:46:55Z,131.0,Strasbourg,Paris Est
OCESN2050F2470133:2023-10-13T00:46:55Z,135.0,Strasbourg,Paris Gare du Nord
OCESN2051F2391370:2023-10-13T00:46:55Z,117.0,Paris Est,Strasbourg
OCESN2077F2271008:2023-10-13T00:46:55Z,122.0,Paris Gare du Nord,Strasbourg
OCESN2087F2239944:2023-08-29T11:49:37Z,346.0,Strasbourg,Aix-en-Provence TGV
OCESN2087F2308903:2023-10-11T00:54:01Z,363.0,Strasbourg,Marseille Saint-Charles
OCESN2090F2441881:2023-10-09T00:43:50Z,363.0,Strasbourg,Bordeaux Saint-Jean
OCESN2092F2441878:2023-10-11T00:54:01Z,358.0,Bordeaux Saint-Jean,Strasbourg
OCESN2096F2404402:2023-10-09T00:43:50Z,358.0,Aix-en-Provence TGV,Strasbourg
OCESN2096F2519325:2023-10-09T00:43:50Z,371.0,Marseille Saint-Charles,Strasbourg
OCESN2203F2174017:2023-08-29T11:49:37Z,371.0,Strasbourg,Montpellier Saint-Roch
OCESN2204F2173418:2023-08-29T11:49:37Z,375.0,Montpellier Saint-Roch,Strasbourg
OCESN2204F2290264:2023-10-09T00:43:50Z,435.0,Montpellier Saint-Roch,Metz
OCESN2207F2290687:2023-10-09T00:43:50Z,100.0,Paris Gare du Nord,Metz
OCESN2208F1921255:2023-10-11T00:54:01Z,93.0,Metz,Paris Est
OCESN2213F2426030:2023-10-09T00:43:50Z,85.0,Paris Est,Metz
OCESN2234F1955190:2023-10-11T00:54:01Z,118.0,Nancy Place de la République,Paris Est
OCESN2237F1334366:2023-10-04T00:41:06Z,111.0,Paris Est,Nancy Place de la République
OCESN2237F2403232:2023-10-09T00:43:50Z,119.0,Paris Gare du Nord,Nancy Place de la République
OCESN2239F2173963:2023-10-04T00:41:06Z,535.0,Strasbourg,Nice-Ville
OCESN2239F2346865:2023-10-09T00:43:50Z,423.0,Strasbourg,Toulon
OCESN2239F2380179:2023-10-09T00:43:50Z,647.0,Nancy Place de la République,Nice-Ville
OCESN2242F2121827:2023-10-13T00:46:55Z,534.0,Nice-Ville,Strasbourg
OCESN2242F2184608:2023-10-04T09:03:30Z,602.0,Nice-Ville,Nancy Place de la République
OCESN2242F2371191:2023-10-04T09:03:30Z,424.0,Toulon,Strasbourg
OCESN2253F2240609:2023-10-13T00:46:55Z,48.0,Paris Est,Reims
OCESN2260F1337017:2023-10-09T00:43:50Z,52.0,Reims,Paris Est
OCESN2350F2019974:2023-10-13T00:46:55Z,162.0,Colmar,Paris Est
OCESN2350F2408970:2023-10-11T00:54:01Z,177.0,Colmar,Paris Gare du Nord
OCESN2363F2262992:2023-10-13T00:46:55Z,146.0,Paris Est,Colmar
OCESN2363F2544183:2023-10-09T00:43:50Z,174.0,Paris Gare du Nord,Colmar
OCESN2534F2542887:2023-09-19T00:35:11Z,99.0,Nancy Place de la République,Paris Gare du Nord
OCESN2571F1943482:2023-10-09T00:43:50Z,171.0,Paris Est,Remiremont
OCESN2573F2606543:2023-10-11T00:54:01Z,230.0,Paris Gare du Nord,Remiremont
OCESN2574F2244253:2023-10-11T00:54:01Z,169.0,Remiremont,Paris Est
OCESN2591F1911335:2023-10-09T00:43:50Z,173.0,Paris Est,Saint-Dié-des-Vosges
OCESN2596F2257109:2023-10-11T00:54:01Z,157.0,Saint-Dié-des-Vosges,Paris Est
OCESN2654F2387412:2023-10-11T00:54:01Z,117.0,Metz,Paris Gare du Nord
OCESN2701F2610871:2023-09-23T00:33:29Z,63.0,Paris Gare du Nord,Reims
OCESN2709F2058470:2023-10-11T00:54:01Z,128.0,Paris Est,Sedan
OCESN2709F2584834:2023-10-13T00:46:55Z,104.0,Paris Est,Charleville-Mézières
OCESN2714F1718173:2023-08-29T11:49:37Z,138.0,Sedan,Paris Est
OCESN2722F1664200:2023-09-19T00:35:11Z,66.0,Reims,Paris Gare du Nord
OCESN2724F2429347:2023-10-11T00:54:01Z,162.0,Sedan,Paris Gare du Nord
OCESN2730F2436054:2023-10-13T00:46:55Z,110.0,Charleville-Mézières,Paris Est
OCESN2778F2348372:2023-10-11T00:54:01Z,126.0,Bar-le-Duc,Paris Est
OCESN2785F1347810:2023-10-10T00:42:10Z,124.0,Paris Est,Bar-le-Duc
OCESN2801F2387496:2023-09-23T00:33:29Z,150.0,Paris Gare du Nord,Luxembourg
OCESN2801F2584859:2023-10-13T00:46:55Z,138.0,Paris Est,Luxembourg
OCESN2815F2495671:2023-09-19T00:35:11Z,117.0,Paris Gare du Nord,Thionville
OCESN2854F2373878:2023-10-10T00:42:10Z,134.0,Luxembourg,Paris Est
OCESN2864F2511370:2023-09-26T00:38:18Z,173.0,Luxembourg,Paris Gare du Nord
OCESN2870F1567584:2023-10-11T00:54:01Z,130.0,Thionville,Paris Gare du Nord
OCESN32965F2632088:2023-09-27T00:39:01Z,342.0,Paris Gare de Lyon Hall 1 - 2,Nice-Ville
OCESN5000F2180299:2023-08-29T11:49:37Z,205.0,Lille Europe,Rennes
OCESN5010F2239480:2023-10-09T00:43:50Z,300.0,Lille Europe,Marseille Saint-Charles
OCESN5010F2342328:2023-10-04T09:03:30Z,289.0,Lille Europe,Aix-en-Provence TGV
OCESN5010F2594196:2023-10-09T00:43:50Z,185.0,Lille Europe,Lyon Part Dieu
OCESN5020F2218325:2023-10-12T00:48:35Z,328.0,Lille Europe,Montpellier Saint-Roch
OCESN5026F2176747:2023-10-04T09:03:30Z,264.0,Lille Europe,Montpellier Sud de France
OCESN5054F1686663:2023-10-02T00:28:07Z,236.0,Marseille Saint-Charles,Aéroport Charles de Gaulle 2 TGV
OCESN5054F2257212:2023-10-10T00:42:10Z,291.0,Marseille Saint-Charles,Lille Europe
OCESN5054F2597509:2023-10-10T00:42:10Z,173.0,Lyon Part Dieu,Lille Europe
OCESN5060F2406370:2023-10-09T00:43:50Z,223.0,Bordeaux Saint-Jean,Aéroport Charles de Gaulle 2 TGV
OCESN5062F2244000:2023-10-09T00:43:50Z,312.0,Montpellier Sud de France,Lille Europe
OCESN5062F2264576:2023-10-04T09:03:30Z,329.0,Montpellier Saint-Roch,Lille Europe
OCESN5066F2241590:2023-10-09T00:43:50Z,254.0,Aix-en-Provence TGV,Lille Europe
OCESN5080F2219555:2023-10-10T00:42:10Z,230.0,Rennes,Lille Europe
OCESN5156F2082813:2023-10-09T00:43:50Z,312.0,Montpellier Saint-Roch,Lille Flandres
OCESN5186F2217864:2023-10-10T00:42:10Z,195.0,Lyon Perrache,Lille Europe
OCESN5192F1989988:2023-10-09T00:43:50Z,238.0,Lyon Perrache,Lille Flandres
OCESN5192F2326814:2023-10-04T00:41:06Z,360.0,Marseille Saint-Charles,Lille Flandres
OCESN5192F2359520:2023-10-04T00:41:06Z,220.0,Lyon Part Dieu,Lille Flandres
OCESN5202F1688143:2023-09-30T00:27:01Z,346.0,Lille Europe,Bordeaux Saint-Jean
OCESN5202F2203619:2023-10-10T00:42:10Z,347.0,Lille Flandres,Bordeaux Saint-Jean
OCESN5224F1959940:2023-10-04T09:03:30Z,312.0,Lille Flandres,Nantes
OCESN5260F1586005:2023-10-04T00:41:06Z,282.0,Bordeaux Saint-Jean,Lille Flandres
OCESN5284F1959879:2023-09-30T00:27:01Z,299.0,Bordeaux Saint-Jean,Lille Europe
OCESN5288F1807624:2023-10-09T00:43:50Z,257.0,Nantes,Lille Europe
OCESN5300F2082707:2023-10-10T00:42:10Z,389.0,Nantes,Montpellier Sud de France
OCESN5306F1964028:2023-10-10T00:42:10Z,305.0,Nantes,Lyon Perrache
OCESN5306F2099768:2023-08-29T11:49:37Z,400.0,Nantes,Marseille Saint-Charles
OCESN5306F2420561:2023-08-29T11:49:37Z,286.0,Nantes,Lyon Part Dieu
OCESN5316F2173484:2023-10-13T00:46:55Z,403.0,Le Havre,Marseille Saint-Charles
OCESN5332F2023556:2023-10-13T00:46:55Z,353.0,Rennes,Marseille Saint-Charles
OCESN5332F2420734:2023-08-30T00:33:31Z,239.0,Rennes,Lyon Part Dieu
OCESN5336F2322212:2023-10-12T00:48:35Z,259.0,Rennes,Lyon Perrache
OCESN5336F2333144:2023-08-30T00:33:31Z,366.0,Rennes,Montpellier Sud de France
OCESN5351F1960316:2023-10-10T00:42:10Z,303.0,Lyon Perrache,Nantes
OCESN5358F2083180:2023-10-13T00:46:55Z,388.0,Montpellier Sud de France,Nantes
OCESN5366F2428682:2023-10-09T00:43:50Z,373.0,Marseille Saint-Charles,Nantes
