route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000001,OCESN12213F1304079:2023-08-29T11:49:37Z,12213,,1,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000002,OCESN12213F2323578:2023-10-09T00:43:50Z,12213,,2,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000003,OCESN12213F2410837:2023-10-10T00:42:10Z,12213,,3,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000004,OCESN12244F2546867:2023-10-13T00:46:55Z,12244,,4,
FR:Line::2881AC3D-A347-4440-BEF8-23ACAB159588:,000005,OCESN12246F1317210:2023-08-29T11:49:37Z,12246,,5,
FR:Line::2881AC3D-A347-4440-BEF8-23ACAB159588:,000006,OCESN12246F1317902:2023-08-29T11:49:37Z,12246,,6,
FR:Line::2881AC3D-A347-4440-BEF8-23ACAB159588:,000007,OCESN12246F2337395:2023-10-09T00:43:50Z,12246,,7,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000008,OCESN12250F2406669:2023-10-13T00:46:55Z,12250,,8,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000009,OCESN12250F2693997:2023-10-12T00:48:35Z,12250,,9,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000010,OCESN12251F2322624:2023-10-09T00:43:50Z,12251,,10,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000011,OCESN12251F2410891:2023-10-09T00:43:50Z,12251,,11,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000012,OCESN12252F1719016:2023-10-10T00:42:10Z,12252,,12,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000013,OCESN12252F2000889:2023-09-04T00:36:08Z,12252,,13,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000014,OCESN12254F1971837:2023-10-09T00:43:50Z,12254,,14,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000015,OCESN12254F2234436:2023-10-13T00:46:55Z,12254,,15,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000016,OCESN12254F2346076:2023-10-09T00:43:50Z,12254,,16,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000017,OCESN12254F2402840:2023-10-09T00:43:50Z,12254,,17,
