text;from;to;moment
Depuis La Chaize le vicomte à La Roche sur foron;La Chaize le vicomte;La Roche sur foron;
Itiniréraire jusqu'a Giromagny depuis Quimper;Quimper;Giromagny;
Comment aller de Boigneville à Longjumeau mardi;Boigneville;Longjumeau;mardi
Je suis actuellement à Villers sur mer et j aimerais partir à Ferrières en bray;Villers sur mer;Ferrières en bray;
Donne moi l'itinéraire pour aller à Fontenay le fleury en partant de Lizy sur ourcq;Lizy sur ourcq;Fontenay le fleury;
Comment aller de Viviers du lac à Aytré;Viviers du lac;Aytré;
Je pars de Caen pour aller à Villeneuve la comtesse;Caen;Villeneuve la comtesse;
le départ et l'arrivée de mon voyage sont Sathonay camp et Quillan;Sathonay camp;Quillan;
Quel trajet pour Éveux Grandvilliers;Éveux;Grandvilliers;
train Wizernes Sillé le guillaume;Wizernes;Sillé le guillaume;
Le train Concarneau Clamecy;Concarneau;Clamecy;
Je quitte Trémentines pour Joue les tours;Trémentines;Joue les tours;
Itiniréraire jusqu'a Saint pierre de chignac depuis Poix de picardie;Poix de picardie;Saint pierre de chignac;
J'irai bien à la gare de Saint samson sur rance depuis la gare de Villereversure;Villereversure;Saint samson sur rance;
je vais à Us depuis Égletons;Égletons;Us;
Je quitte Thuès entre valls pour Sevran;Thuès entre valls;Sevran;
Je cherche un trajet de Fronville à Le Theil de bretagne demain soir;Fronville;Le Theil de bretagne;demain soir
Je voudrais aller de Luxé à Dunkerque;Luxé;Dunkerque;
Je quitte Saint laurent en grandvaux pour Somain;Saint laurent en grandvaux;Somain;
Quel trajet pour Bourg bruche Carhaix plouguer;Bourg bruche;Carhaix plouguer;
Je prends le train Vignory Boisville la saint père;Vignory;Boisville la saint père;
La ligne Bergerac Vern sur seiche;Bergerac;Vern sur seiche;
je veux partir de Saint masmes pour Bétheniville;Saint masmes;Bétheniville;
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Barsac et gare de Vif;Barsac;Vif;
Itiniréraire jusqu'a Monéteau depuis Mouans sartoux;Mouans sartoux;Monéteau;
le départ et l'arrivée de mon voyage sont Gironde sur dropt et Vivonne;Gironde sur dropt;Vivonne;
trajet Le Relecq kerhuon Landaul;Le Relecq kerhuon;Landaul;
Ma provenance et ma destination sont Béard et Pessac;Béard;Pessac;
Le train Oberhoffen sur moder Sainte eanne;Oberhoffen sur moder;Sainte eanne;
Ma destination et ma provenance sont Pierre buffière et Le Cheylas;Le Cheylas;Pierre buffière;
ils veulent aller de Brassac les mines jusqu'à Loon plage;Brassac les mines;Loon plage;
Comment aller de Veuves à Champigneulles;Veuves;Champigneulles;
Je veux aller à Hennebont depuis Drancy;Drancy;Hennebont;
Emmène moi de Saint prest à Blois;Saint prest;Blois;
Je veux aller de Chauny à Batilly;Chauny;Batilly;
Le train Lus la croix haute Thiaville sur meurthe;Lus la croix haute;Thiaville sur meurthe;
train Baillargues Roncq;Baillargues;Roncq;
Je veux aller à Meyrargues depuis Laguépie;Laguépie;Meyrargues;
Allons à L'hôpital du grosbois depuis Mothern;Mothern;L'hôpital du grosbois;
train Charbonnières les bains Liverdun;Charbonnières les bains;Liverdun;
Je suis actuellement à Saint rambert d'albon et j aimerais partir à Notre dame de bondeville samedi après midi;Saint rambert d'albon;Notre dame de bondeville;samedi après-midi
Indique moi le chemin pour Coussac bonneval depuis Saint georges de reneins;Saint georges de reneins;Coussac bonneval;
La ligne Fuveau Rampan;Fuveau;Rampan;
je vais à Arbois depuis Épehy;Épehy;Arbois;
mercredi  je voudrais aller de Saint georges de luzençon à Quiberon;Saint georges de luzençon;Quiberon;mercredi
Je cherche le train le plus rapide pour faire Saint mathurin sur loire Epinal;Saint mathurin sur loire;Epinal;
trajet Verrey sous salmaise Cahors;Verrey sous salmaise;Cahors;
La ligne Saint andré de corcy Chabris;Saint andré de corcy;Chabris;
